# R-2 variant-batch CANDIDATES from pn_binding_numonly.txt (audit 2026-07-16 bucket:
# spelling-variant, single close candidate). CONDITIONS: every pair EYEBALLED vs TIPNR
# before it enters the map; roster-freeze gate (check_roster_regression.py CLEAN) before
# any import runs. Columns: surface | candidate entity key | rows | example ref
melchishua | malchi-shua | 2 | 1Sa 14:49
meshellemiah | meshelemiah | 1 | 1Ch 9:21
meshezabeel | meshezabel | 3 | Neh 3:4
methusaela | methushael | 1 | Gen 4:18
methuseleh | methuselah | 1 | Gen 5:22
miamin | mijamin | 2 | Ezr 10:25
micah | mica | 1 | 1Ch 9:15
micha | mica | 1 | Neh 11:17
micha | micah | 1 | 2Sa 9:12
milcha | milcah | 3 | Gen 11:29
milchah | milcah | 1 | Num 36:11
mithridath | mithredath | 1 | Ezr 4:7
mizpar | mispar | 1 | Ezr 2:2
mizpeh | mizpeh_valley | 2 | Jos 11:3
moan | maon | 1 | 1Ch 2:45
naahshon | nahshon | 1 | Exo 6:23
naammah | naamah | 1 | 2Ch 12:13
naan | naam | 1 | 1Ch 4:15
nabushasban | nebushazban | 1 | Jer 39:13
nachon | nacon | 1 | 2Sa 6:6
nahallel | nahalol | 1 | Jos 19:15
nahari | naharai | 1 | 2Sa 23:37
namuel | nemuel | 1 | Num 26:9
napheg | nepheg | 1 | 2Sa 5:15
naphuhim | naphtuhim | 1 | 1Ch 1:11
nashon | nahshon | 2 | Num 1:7
nathaneel | nethanel | 1 | Ezr 10:22
nergalsharezer | nergal-sar-ezer | 1 | Jer 39:3
netopha | netophah | 1 | 1Ch 27:13
netophathi | netophah | 1 | Neh 12:28
odollam | adullam | 1 | 1Sa 22:1
penuel | peniel | 5 | 1Ki 12:25
persian | persia | 2 | Dan 6:28
phrygian | phrygia | 2 | Act 16:6
piarathon | pirathon | 1 | 1Ch 27:14
raama | raamah | 1 | 1Ch 1:9
raphael | rephael | 1 | 1Ch 26:7
raphaiah | raphah | 1 | 1Ch 9:43
raphaiah | rephaiah | 1 | 1Ch 7:2
raphaim | rephaim | 5 | Deu 2:11
rechah | recah | 1 | 1Ch 4:12
remphan | rephan | 1 | Act 7:43
rephaim | rephaim_valley | 2 | 2Sa 23:13
rogel | en-rogel | 3 | 2Sa 17:17
ruben | reuben | 1 | Gen 37:29
sabtechah | sabteca | 1 | Gen 10:7
sacar | sachar | 1 | 1Ch 26:4
