# witness-divergence census, PRODUCTION-MATCHER lanes (2026-07-30, reviewer-approved drill)
# lane|name|book|chapter|verse|sole_entity_or_candidate_count
B|shamer|1Ch|6|46|0
B|shamer|1Ch|7|34|0
C|asa|1Ch|8|38|2
C|asa|1Ki|15|15|2
C|benaiah|1Ch|11|23|12
C|benaiah|1Ch|9|32|12
C|ahaz|1Ch|9|41|2
C|ahaz|Jer|22|15|2
B|sacar|1Ch|11|35|0
B|sacar|1Ch|26|4|0
B|azareel|1Ch|25|18|0
B|azareel|Neh|11|13|0
C|benjamin|1Ki|12|20|7
C|benjamin|Jdg|5|13|7
C|omri|1Ki|16|24|4
C|omri|2Ki|9|31|4
C|ahab|1Ki|20|15|2
C|ahab|1Ki|22|52|2
C|ahijah|1Sa|14|18|7
C|ahijah|1Sa|14|3|7
C|ner|2Sa|4|12|2
C|josiah|2Ch|36|4|2
C|josiah|2Ki|22|9|2
C|ahaziah|2Ki|1|17|2
C|ahaziah|2Ki|1|3|2
C|hebron|2Sa|2|13|4
C|hebron|2Sa|3|12|4
C|amnon|2Sa|13|14|2
C|amnon|2Sa|13|16|2
C|tamar|2Sa|13|16|4
C|tamar|Gen|38|26|4
A|koz|Ezr|2|61|Koz@1Ch.4.8
A|koz|Neh|7|63|Koz@1Ch.4.8
C|eleazar|Ezr|8|16|8
C|eleazar|Num|36|1|8
C|noah|Gen|7|16|2
C|noah|Gen|9|12|2
C|levi|Gen|34|14|4
C|levi|Jer|31|14|4
C|ehud|Jdg|3|18|2
C|ehud|Jdg|3|19|2
C|manasseh|Jdg|18|30|4
C|manasseh|Num|34|13|4
C|maaseiah|Jer|32|12|20
C|maaseiah|Jer|51|59|20
C|elihu|Job|32|17|5
C|elihu|Job|38|1|5
C|caleb|Jos|15|15|2
C|caleb|Jos|15|19|2
B|juda|Luk|3|26|0
B|juda|Neh|11|17|0
C|amram|1Ch|1|41|2
C|assir|1Ch|3|17|2
C|carmi|1Ch|4|1|2
C|amminadab|1Ch|6|22|2
C|rapha|1Ch|8|37|2
C|jehoshaphat|1Ch|15|24|5
