2Sa 15:14	And David said  to all his servants  with him in Jerusalem, Rise up! for we should flee, for there is no  deliverance for us from the face of Absalom. Hasten  to go! that he should not hasten and overtake us, and thrust evil upon us,  and should strike the city by the mouth of the broadsword.
2Sa 20:4	And the king said to Amasa, Call to me men of Judah in three days, but you stand here!
2Sa 20:19	I am peaceable of ones supporting Israel. But you seek to kill a city, even a mother-city in Israel. Why do you swallow down the inheritance of the LORD?
2Sa 21:4	And the Gibeonites said to him, There is not a problem  with us over silver nor gold with Saul, and with  his house;  and there is no  man for us to put to death from all Israel.
Dan 2:20	And he said, May it be -- the name  of God being blessed from the eon and unto the eon, for the wisdom and the might are his.
Dan 2:47	And responding the king said  to Daniel, In truth  your God,  is he God of gods, and lord of the kings, and uncovering mysteries, for you were able to uncover  this mystery.
Dan 4:26	And whereas they said, Allow the development of the roots of the tree in the ground;  your kingdom  abides to you from of which ever time you should know the heavenly authority.
Dan 4:32	And from  men shall banish they you, and with wild beasts  your dwelling shall be,  and grass as an ox they shall feed you, and seven seasons shall change over you, until of which time you shall know that the highest dominates the kingdom  of men, and to whom ever it seems good to give it.
Dan 10:13	And the ruler of the kingdom of the Persians stood right opposite me twenty days and one day. And behold, Michael, one of the rulers of the ones foremost, came to help me; and left I him there with the ruler of the kingdom of the Persians.
Deu 1:38	Joshua son of Nun, the one standing beside you, this one shall enter there; strengthen you him! for he shall allot it  to Israel and  your children, which you said to be for ravaging.
Deu 4:4	But you, the ones joining with the LORD your God, all live   today.
Deu 4:7	For what great nation in which there is to it a God near to them as the LORD our God is in all things in which should call upon we him?
Deu 4:22	For I die in  this land, and I shall not pass over  this Jordan.  But you shall pass over and shall inherit  this good land.
Deu 5:3	Not with your fathers the LORD ordained this covenant, but only with you; even you here all living today.
Deu 5:16	Esteem  your father  and  your mother!  in which manner the LORD your God gave charge to you,   that good should be to you, and that you may be a long time upon the earth, of which the LORD your God  gives to you.
Deu 5:31	But you here stand with me! and I shall speak to you all the commandments, and the ordinances, and the judgments, as many as you shall teach them. And let them do thus in the land which I give to them by lot!
Deu 5:33	but according to every  way which the LORD your God gave charge to you   to go by it, so that he should rest you, and good might be to you, and you should prolong your days upon the land which you shall inherit.
Deu 7:7	Not because you were more numerous than all the nations did the LORD prefer you, and chose you; for you are ones very few of all the nations.
Deu 8:18	And you shall remember the LORD your God,  that he gives to you strength  to produce the ability, that he should establish his covenant  which he swore by an oath to your fathers  as today.
Deu 11:24	Every  place which ever the track of your foot may tread   will be yours. From the wilderness and Antilebanon, and from the river of the great river Euphrates, and unto the sea  at the descent of the sun it will be  your boundaries.
Deu 11:31	For you are passing over the Jordan, entering to inherit the land which the LORD our God  gives to us by lot all the days. And you shall inherit and dwell in it.
Deu 12:25	You shall not eat it, that good should happen to you, and to your sons  after you, if you should do the good and the pleasing thing before the LORD your God.
Deu 12:28	Guard and hearken! and you shall do all the words which I give charge to you, that good should happen to you, and to your sons  through the eon, if you should do the pleasing and the good thing before the LORD your God.
Deu 14:29	And the Levite shall come, for there is no  portion for him nor lot with you, and the foreigner, and the orphan, and the widow  in  your cities,  and they shall eat and shall be filled; that the LORD your God should bless you   in all the works  of your hands,  in whichever ones  you should do.
Deu 15:6	for the LORD your God  blessed you in which manner he spoke to you; then you shall lend to many nations, but you shall not borrow; and you shall control  many nations, but of you they shall not control.
