Gen 38:29	was	G1249.2
Gen 39:9	is	G5227.1
Gen 44:18	let	G2980
Gen 47:4	let	G2730
Gen 49:8	may	G1473
Hab 2:20	let	G2125
Hag 2:4	let	G2729
Hos 2:17	should	G3403
Isa 5:19	let	G2064
Isa 7:7	should	G3306
Isa 7:25	shall	G1904
Isa 9:20	shall	G1705
Isa 10:15	shall	G5312
Isa 13:20	shall	G1330
Isa 14:32	shall	G611
Isa 27:9	should	G3306
Isa 27:11	should	G3627
Isa 28:17	should	G3928
Isa 31:5	shall	G5231.3
Isa 32:11	Let	G3076
Isa 33:20	shall	G2795
Isa 33:21	shall	G4198
Isa 33:24	shall	G2036
Isa 35:5	shall	G455
Isa 35:8	shall	G3928
Isa 36:15	shall	G3860
Isa 36:16	you shall	G2068
Isa 38:18	shall	G1679
Isa 41:25	let	G2064
Isa 42:2	shall	G191
Isa 45:8	Let	G2165
Isa 45:8	Let	G393
Isa 47:13	Let	G2476
Isa 48:19	shall	G622
Isa 49:10	shall	G3960
Isa 52:9	Let	G4486
Isa 54:6	has	G2564
Isa 55:7	Let	G620
Isa 56:9	Let	G2068
Isa 59:9	shall	G2638
Isa 61:10	Let	G21
Isa 62:5	shall	G2730
Isa 62:8	shall	G4095
Isa 63:19	was	G2564
Isa 66:5	Let	G2036
Isa 66:10	let	G3830.1
Jer 2:26	shall	G153
Jer 4:14	shall	G5224
Jer 4:28	let	G3996
Jer 4:28	let	G4951.5
Jer 5:19	did	G4160
Jer 7:19	Do	G3361
Jer 9:18	let	G2609
Jer 9:20	let	G1209
Jer 12:4	will	G3996
Jer 15:10	did	G5623
Jer 16:7	should	G2806
Jer 17:18	May	G2617
Jer 18:8	should	G1994
Jer 18:11	Let	G654
Jer 18:21	Let	G1096
Jer 18:23	Let	G1096
Jer 23:12	let	G1096
Jer 29:22	Let	G4160
Jer 30:24	shall	G654
Jer 31:34	shall	G1321
Jer 32:17	shall	G613
Jer 35:15	Let	G654
Jer 37:19	shall	G2064
Jer 37:20	Let	G4098
Jer 42:3	let	G312
Jer 42:18	shall	G4712.1
Jer 48:17	is	G4937
Jer 49:11	Let	G5275
Jer 49:18	shall	G2523
Jer 49:18	should	G2730
Jer 49:33	shall	G2523
Jer 49:33	should	G2730
Jer 50:26	Let	G3361
Jer 50:40	shall	G2730
Jer 50:40	shall	G3939
Jer 51:6	let	G391.2
Jer 51:44	should	G4863
Job 1:21	May	G1510.4
Job 3:3	May	G622
Job 3:4	may	G2064
Job 3:5	May	G1904
Job 3:5	may	G5015
Job 3:6	May	G667
Job 3:7	may	G3361
Job 3:8	may	G2672
Job 3:9	May	G4656
Job 3:9	may	G3361
Job 3:20	has	G1325
Job 5:5	may	G1610.5
Job 5:12	should	G4160
Job 7:7	shall	G1880
Job 8:11	shall	G5312
Job 15:6	May	G1651
Job 15:12	did	G5111
Job 15:12	have	G2018
Job 15:13	and	G1806
Job 15:29	shall	G3306
Job 16:20	May	G864
Job 16:20	may	G4712.1
Job 18:4	shall	G2690
Job 18:7	May	G2340
Job 18:13	And may	G977
Job 20:23	may	G3538
Job 20:24	may	G5103.1
Job 20:28	May	G1670
Job 21:19	May	G1587
Job 21:20	May	G1492
Job 22:17	will	G1863
Job 24:18	may	G2672
Job 25:4	shall	G1510.8.3
Job 27:7	may	G1510.4
Job 31:30	Let	G191
Job 33:27	shall	G631.1
